,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0,/hdd/1/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Total","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space","Used Space"
09/30/2024 15:34:39,6.25,0,0,0,0,0,100,100,100,100,25.78125,69.55791,16.4797249,7.212368,59,210.000015,405.000031,0,2,13,0,0,6144,293.4414,5850.55859,4.7760644,4.09500027,0.046875,0,89.76897,86.55914
09/30/2024 15:34:40,12.5,1.5625,0,0.78125,0,0.78125,100,86.15385,88.70968,78.125,24.0149078,64.44379,15.2680817,8.424011,59,210.000015,405.000031,0,1,13,0,0,6144,293.5664,5850.43359,4.778099,3.88100028,0,0,89.76897,86.55914
09/30/2024 15:34:41,10.15625,3.125,2.34375,0.78125,1.5625,0.78125,34.375,18.75,57.5757561,49.2307663,12.3394728,64.15152,15.1988373,8.493256,59,210.000015,405.000031,0,0,18,0,0,6144,293.5664,5850.43359,4.778099,3.89600015,0,0,89.76897,86.55914
09/30/2024 15:34:42,3.125,0.78125,0,0,0,0,46.0317421,50.7936478,60.3174553,52.3809547,13.5835171,63.9878654,15.1600647,8.532028,59,210.000015,405.000031,0,0,34,0,0,6144,293.5664,5850.43359,4.778099,3.87800026,0,0,89.76897,86.55914
09/30/2024 15:34:43,0.7692337,0.7692337,0,0,0,0,86.15385,86.36364,92.30769,93.93939,22.6150932,63.94359,15.1495743,8.542519,59,210.000015,405.000031,0,0,37,0,0,6144,293.5664,5850.43359,4.778099,3.88,0,0,89.76897,86.55914
09/30/2024 15:34:44,3.90625,0,0,0,0.78125,0,79.6875,76.1904755,76.92308,84.12698,20.3939381,63.90121,15.139534,8.552559,59,210.000015,405.000031,0,0,17,0,0,6144,293.5664,5850.43359,4.778099,3.87300014,0,0,89.76897,86.55914
09/30/2024 15:34:45,10.15625,0.78125,2.34375,0.78125,0,0,64.61538,76.5625,87.5,72.30769,20.5694084,64.21857,15.2147217,8.477371,59,210.000015,405.000031,0,1,23,0,0,6144,295.035156,5848.965,4.80200434,4.441,0,0,89.76897,86.55914
09/30/2024 15:34:46,1.5625,0.78125,0,0,0,0,32.8125,53.8461571,46.875,43.75,11.3731976,64.21535,15.2139587,8.478134,59,210.000015,405.000031,0,0,18,0,0,6144,295.035156,5848.965,4.80200434,3.89900017,0,0,89.76897,86.55914
09/30/2024 15:34:47,0,0.78125,0,0.78125,0,0,19.0476189,23.8095226,29.6875,15.8730145,5.72142029,64.1946259,15.2090492,8.483044,59,210.000015,405.000031,0,0,23,0,0,6144,295.035156,5848.965,4.80200434,3.84900022,0,0,89.76897,86.55914
09/30/2024 15:34:48,2.34375,0,0,0,0,0,48.4375,84.375,100,100,21.09375,64.15445,15.1995316,8.492561,59,210.000015,405.000031,0,0,17,0,0,6144,295.035156,5848.965,4.80200434,3.87900019,0,0,89.76897,86.55914
09/30/2024 15:34:49,3.90625,0,0,0,0,0,100,100,100,100,25.4882813,64.14046,15.1962166,8.495876,59,210.000015,405.000031,0,0,10,0,0,6144,295.035156,5848.965,4.80200434,3.834,0,0,89.76897,86.55914
09/30/2024 15:34:50,1.5625,0,0,0,0,0,78.46154,83.07693,83.07693,86.15385,20.8683968,64.11807,15.1909142,8.501179,59,210.000015,405.000031,0,0,19,0,0,6144,295.035156,5848.965,4.80200434,3.86200023,0,0,89.76897,86.55914
09/30/2024 15:34:51,0,0,0,0,0,0,1.5625,0,34.375,18.75,3.41796875,64.0688858,15.17926,8.512833,59,210.000015,405.000031,0,0,34,0,0,6144,295.035156,5848.965,4.80200434,3.90100026,0,0,89.76897,86.55914
09/30/2024 15:34:52,0,0.78125,0,0,0,0,1.5625,7.936507,0,15.625,1.66790485,64.061615,15.177536,8.514557,59,210.000015,405.000031,0,0,22,0,0,6144,295.035156,5848.965,4.80200434,3.92,0,0,89.76897,86.55914
09/30/2024 15:34:53,0,2.34375,0.78125,0,0.78125,0,66.6666641,64.0625,95.3125,90.625,20.27995,64.06462,15.1782494,8.513844,59,210.000015,405.000031,0,0,17,0,0,6144,295.035156,5848.965,4.80200434,3.84600019,0,0,89.76897,86.55914
09/30/2024 15:34:54,0,1.5625,0,0,0,0,100,100,100,100,25.1953125,64.06554,15.1784668,8.513626,59,210.000015,405.000031,0,0,9,0,0,6144,295.035156,5848.965,4.80200434,3.89400029,0,0,89.76897,86.55914
09/30/2024 15:34:55,0,0,0,0,0,0,64.61538,68.75,92.1875,84.61539,19.3855171,64.06287,15.1778336,8.514259,59,210.000015,405.000031,0,0,12,0,0,6144,295.035156,5848.965,4.80200434,3.874,0,0,89.76897,86.55914
09/30/2024 15:34:56,1.5625,0.78125,0,0,0,0,6.25,10.76923,24.6153831,0,2.89513469,63.8661575,15.1312294,8.56086349,59,210.000015,405.000031,0,0,25,0,0,6144,295.035156,5848.965,4.80200434,3.887,0,0,89.76897,86.55914
09/30/2024 15:34:57,0,3.90625,0,0.78125,0,0,9.375,21.875,7.8125,4.6875,3.3203125,63.8100433,15.1179352,8.574158,59,210.000015,405.000031,0,0,9,0,0,6144,295.035156,5848.965,4.80200434,3.89,0,0,89.76897,86.55914
09/30/2024 15:34:58,0,0,0,0,0,0,18.75,46.0317421,39.6825371,65.625,10.6305838,63.81687,15.1195526,8.57254,59,210.000015,405.000031,0,0,27,0,0,6144,295.035156,5848.965,4.80200434,3.86800027,0,0,89.76897,86.55914
09/30/2024 15:34:59,0,0,0,0,0,0,85.71429,93.84615,93.84615,98.4375,23.24025,63.81452,15.1189957,8.573097,59,210.000015,405.000031,0,0,21,0,0,6144,295.035156,5848.965,4.80200434,3.81400013,0,0,89.76897,86.55914
09/30/2024 15:35:00,0,0,0.78125,0,0,0,32.30769,64.0625,56.25,65.625,13.7379827,63.8130074,15.1186371,8.573456,59,210.000015,405.000031,0,0,23,0,0,6144,295.035156,5848.965,4.80200434,3.84800029,0,0,89.76897,86.55914
09/30/2024 15:35:01,0.7692337,0.7692337,1.53846145,0,0.7692337,0,1.53846145,33.8461533,24.6153831,15.3846149,5.19230938,63.85803,15.129303,8.56279,59,210.000015,405.000031,0,30,34,0,1,6144,298.035156,5845.965,4.85083246,4.112,0.0068359375,0.0009765625,89.48665,86.55914
